id,name
0,Anion Gap
1,ALT
2,Iron Saturation
3,"Cadmium, serum"
4,Globulin
5,MCV
6,MCH
7,"Lithium, serum"
8,"Dehydroepiandrosterone Sulfate, blood"
9,"Bilirubin indirect, blood"
10,Small LDL Particles
11,"Copper, serum"
12,"Iodine, serum"
13,GGT
14,DHT
15,Adiponectin
16,LDL-C/HDL-C Ratio
17,Reverse T3
18,ESR
19,Triglycerides
20,Fibrinogen
21,Thyroglobulin Ab
22,Lactate Dehydrogenase
23,"Prostate Specific Antigen, Total"
24,RBC
25,ACTH
26,"Estrogens total, blood"
27,"Magnesium, serum"
28,LDL Particle Number
29,"Mercury, blood"
30,RDW
31,"Lead, blood"
32,Homocysteine
33,Vitamin B1
34,"Folate, RBC"
35,"Manganese, blood"
36,Pregnenolone
37,Osteocalcin
38,Hemoglobin A1c
39,HOMA-IR
40,Coenzyme Q10
41,Bands %
42,"Prostate Specific Antigen, Free"
43,Cortisol
44,"Cortisol, saliva"
45,"Cortisol, 24h Urine"
46,"Estradiol, blood"
47,PaCO2
48,"Bilirubin direct, blood"
49,Leptin
50,Vitamin C
51,"IgG, serum"
52,"Lp-PLA2, activity"
53,"Albumin, serum"
54,Apolipoprotein B
55,"IgM, serum"
56,"Lp-PLA2, concentration"
57,Cholesterol
58,Non-HDL Cholesterol
59,paO2
60,Triglyceride/HDL-C Ratio
61,"Phosphorus, serum"
62,TIBC
63,AST
0,Anion Gap
1,ALT
2,Iron Saturation
3,"Cadmium, serum"
4,Globulin
5,MCV
6,MCH
7,"Lithium, serum"
8,"Dehydroepiandrosterone Sulfate, blood"
9,"Bilirubin indirect, blood"
10,Small LDL Particles
11,"Copper, serum"
12,"Iodine, serum"
13,GGT
14,DHT
15,Adiponectin
16,LDL-C/HDL-C Ratio
17,Reverse T3
18,ESR
19,Triglycerides
20,Fibrinogen
21,Thyroglobulin Ab
22,Lactate Dehydrogenase
23,"Prostate Specific Antigen, Total"
24,RBC
25,ACTH
26,"Estrogens total, blood"
27,"Magnesium, serum"
28,LDL Particle Number
29,"Mercury, blood"
30,RDW
31,"Lead, blood"
32,Homocysteine
33,Vitamin B1
34,"Folate, RBC"
35,"Manganese, blood"
36,Pregnenolone
37,Osteocalcin
38,Hemoglobin A1c
39,HOMA-IR
40,Coenzyme Q10
41,Bands %
42,"Prostate Specific Antigen, Free"
43,Cortisol
44,"Cortisol, saliva"
45,"Cortisol, 24h Urine"
46,"Estradiol, blood"
47,PaCO2
48,"Bilirubin direct, blood"
49,Leptin
50,Vitamin C
51,"IgG, serum"
52,"Lp-PLA2, activity"
53,"Albumin, serum"
54,Apolipoprotein B
55,"IgM, serum"
56,"Lp-PLA2, concentration"
57,Cholesterol
58,Non-HDL Cholesterol
59,paO2
60,Triglyceride/HDL-C Ratio
61,"Phosphorus, serum"
62,TIBC
63,AST
64,"Testosterone, Bioavailable %"
65,Chromium
66,Vitamin E
67,"Insulin, Fasting"
68,Prolactin
69,Growth Hormone
70,UIBC
71,Creatine Kinase
72,ADH
73,"Histamine, plasma"
74,Reticulocytes %
75,FSH
76,IGF-1
77,MMP-9
78,"Magnesium, RBC"
79,Hematocrit
80,Atherogenic index
81,MCHC
82,"Zonulin, feces"
83,Platelet Count
84,Granulocytes
85,Vitamin A
86,Thyroid Peroxidase Ab
87,MPV
88,Ferritin
89,Eosinophils
90,PSA Free/Total Ratio
91,"Progesterone, serum"
92,"Dehydroepiandrosterone, blood"
93,Neutrophils
94,Complement C4
95,"IgA, serum"
96,Lipoprotein (a)
97,Protein Total
98,"Albumin/Globulin Ratio, serum"
99,Ghrelin
100,"Selenium, serum"
101,Complement C3
103,"IgE, serum"
104,VLDL-Cholesterol
105,Ceruloplasmin
106,Aldosterone
107,"Rheumatoid Factor, IgM"
108,Parathyroid Hormone
109,HDL-Cholesterol
110,"Glucose, Random"
111,Gastrin
112,Active B12
113,Biotin
114,TNF-alpha
115,"Histamine, blood"
116,Immature Granulocytes %
118,IL-6
119,Alpha Melanocyte Stimulating Hormone
120,LH
121,Free Thyroxine (T4) Index
122,"Estriol free, serum"
123,TSH Receptor Antibodies (TSHRAbs)
124,"Sodium, serum"
125,"Estrone, serum"
126,"Chloride, serum"
127,"Calcium, serum"
128,Calcitriol
129,"Arsenic, serum"
130,Carbon Dioxide
131,VIP
132,Basophils
133,CRP
134,"Testosterone, Free (Direct)"
135,Lymphocytes
136,Monocytes
137,TSH
138,"Triiodothyronine (T3), Total"
139,"Creatinine, serum"
140,"Iron, serum"
141,"Thyroxine (T4), Free"
142,Beta Carotene
143,"Iodine, urine"
144,"Iodine, 24h urine"
145,"8-OH-deoxyguanosine/Creat, urine"
148,IFN-gamma
150,"IgA, Saliva"
151,"Arsenic Inorganic, 24h urine"
152,"Arsenic Total, 24h urine"
155,"Urobilinogen, urine"
156,Lactulose % Recovery
