id,gender,age,possible_max_value,possible_min_value,biomarker_id
0,,,25000000.0,3000000.0,0
1,,,1500.0,0.0,1
2,,,90.0,5.0,2
3,,,88.959,0.0,3
4,,,60.0,15.0,4
5,,,150.0,50.0,5
6,,,3.105,0.9315,6
7,,,5000000.0,0.0,7
8,,,18997.0,81.414,8
9,,,51312.0,684.16,9
10,,,3000.0,0.0,10
11,,,39342.5,3147.4,11
12,,,4334.11,78.802,12
13,,,700.0,0.0,13
14,,,6.886,0.0,14
15,,,50000000.0,2000000.0,15
16,,,2500.0,0.0,16
17,,,3.0722,0.0076805,17
18,,,150.0,0.0,18
19,,,22598000.0,282475.0,19
20,,,26471.0,1764.7,20
21,,,1200000.0,0.0,21
22,,,1000.0,50.0,22
23,,,53.683,0.0,23
24,,,10000000.0,2000000.0,24
25,,,0.0264252,0.00066063,25
26,,,1500.0,0.0,26
27,,,4114400.0,205720.0,27
28,,,5000.0,0.0,28
29,,,249.265,0.0,29
30,,,21.0,6.0,30
31,,,2895.78,0.0,31
32,,,40000.0,3000.0,32
33,,,500.0,0.0,33
34,,,4531.0,0.0,34
35,,,18202.0,0.0,35
36,,,14.2191,0.0,36
37,,,34.482,0.0,37
38,,,13.0,3.5,38
39,,,4000.0,0.0,39
40,,,8108.1,0.0,40
41,,,15.0,0.0,41
42,,,15.338,0.00038345,42
43,,,2758.9,13.7945,43
44,,,1655.34,0.0,44
45,,,1500.0,3.0,45
46,,,2.01921,0.0183565,46
47,,,26.664,0.39996,47
48,,,59864.0,0.0,48
49,,,150000.0,0.0,49
50,,,851700.0,0.0,50
51,,,166778.0,0.0,51
52,,,300.0,0.0,52
53,,,1053290.0,300940.0,53
54,,,3898.6,0.0,54
55,,,5149.5,0.0,55
56,,,300.0,100.0,56
57,,,9052050.0,2069040.0,57
58,,,6724380.0,1034520.0,58
59,,,46.662,6.666,59
60,,,3000.0,20.0,60
61,,,3228500.0,322850.0,61
62,,,98505.0,14328.0,62
0,,,25000000.0,3000000.0,0
1,,,1500.0,0.0,1
2,,,90.0,5.0,2
3,,,88.959,0.0,3
4,,,60.0,15.0,4
5,,,150.0,50.0,5
6,,,3.105,0.9315,6
7,,,5000000.0,0.0,7
8,,,18997.0,81.414,8
9,,,51312.0,684.16,9
10,,,3000.0,0.0,10
11,,,39342.5,3147.4,11
12,,,4334.11,78.802,12
13,,,700.0,0.0,13
14,,,6.886,0.0,14
15,,,50000000.0,2000000.0,15
16,,,2500.0,0.0,16
17,,,3.0722,0.0076805,17
18,,,150.0,0.0,18
19,,,22598000.0,282475.0,19
20,,,26471.0,1764.7,20
21,,,1200000.0,0.0,21
22,,,1000.0,50.0,22
23,,,53.683,0.0,23
24,,,10000000.0,2000000.0,24
25,,,0.0264252,0.00066063,25
26,,,1500.0,0.0,26
27,,,4114400.0,205720.0,27
28,,,5000.0,0.0,28
29,,,249.265,0.0,29
30,,,21.0,6.0,30
31,,,2895.78,0.0,31
32,,,40000.0,3000.0,32
33,,,500.0,0.0,33
34,,,4531.0,0.0,34
35,,,18202.0,0.0,35
36,,,14.2191,0.0,36
37,,,34.482,0.0,37
38,,,13.0,3.5,38
39,,,4000.0,0.0,39
40,,,8108.1,0.0,40
41,,,15.0,0.0,41
42,,,15.338,0.00038345,42
43,,,2758.9,13.7945,43
44,,,1655.34,0.0,44
45,,,1500.0,3.0,45
46,,,2.01921,0.0183565,46
47,,,26.664,0.39996,47
48,,,59864.0,0.0,48
49,,,150000.0,0.0,49
50,,,851700.0,0.0,50
51,,,166778.0,0.0,51
52,,,300.0,0.0,52
53,,,1053290.0,300940.0,53
54,,,3898.6,0.0,54
55,,,5149.5,0.0,55
56,,,300.0,100.0,56
57,,,9052050.0,2069040.0,57
58,,,6724380.0,1034520.0,58
59,,,46.662,6.666,59
60,,,3000.0,20.0,60
61,,,3228500.0,322850.0,61
62,,,98505.0,14328.0,62
63,,,3000.0,,63
64,,,98.0,0.0,64
65,,,2884.8,0.0,65
66,,,696510.0,6965.1,66
67,,,0.39,0.009,67
68,,,2.76601,0.042554,68
69,,,54.24,0.0,69
70,,,89550.0,2686.5,70
71,,,10000.0,10.0,71
72,,,0.014757,0.0009223,72
73,,,1000.0,0.0,73
74,,,20.0,0.1,74
75,,,140.0,0.1,75
76,,,78.444,1.3074,76
77,,,5000.0,0.0,77
78,,,20572000.0,822880.0,78
79,,,70.0,15.0,79
80,,,3000.0,90.0,80
81,,,24823000.0,16756000.0,81
82,,,25.5324,0.21277,82
83,,,1000000.0,1000.0,83
84,,,50000.0,10.0,84
85,,,31419.0,349.1,85
86,,,1500000.0,0.0,86
87,,,15.0,5.0,87
88,,,1.79776,0.0067416,88
89,,,10000.0,10.0,89
90,,,95.0,0.1,90
91,,,413.4,0.0954,91
92,,,3467.1,1.04013,92
93,,,70000.0,100.0,93
94,,,4000.0,50.0,94
95,,,37500.0,312.5,95
96,,,250.0,0.0,96
97,,,90.0,50.0,97
98,,,320.0,80.0,98
99,,,0.44499,0.0088997,99
100,,,8865.5,18.9975,100
101,,,3000000000.0,50000000.0,101
103,,,2000000.0,0.0,103
